;ShotType;Transition;TwoLegged;Angle;Distance;competition_EURO;competition_NBA;competition_SLO1;competition_U14;playertype_F;playertype_G;movement_dribble or cut;movement_no
3992;0;0;1;43.73;7.28;1;0;0;0;1;0;0;1
3993;0;1;1;34.43;7.3;1;0;0;0;1;0;0;1
3994;0;0;1;12.59;4.18;1;0;0;0;0;1;0;1
3995;5;0;0;28.04;1.94;1;0;0;0;0;1;1;0
3996;0;0;1;87.7;5.04;1;0;0;0;0;1;0;1
3997;3;0;1;88.2;0.43;1;0;0;0;0;1;0;1
3998;0;1;1;59.43;7.28;1;0;0;0;0;1;0;1
3999;0;0;1;87.01;6.97;1;0;0;0;0;1;0;1
4000;0;0;1;26.69;7.16;1;0;0;0;0;1;0;1
4001;1;0;0;52.04;1.29;1;0;0;0;0;1;1;0
4002;0;0;1;34.84;4.97;1;0;0;0;0;1;0;1
4003;0;0;1;48.55;7.22;1;0;0;0;0;1;0;1
4004;2;0;1;69.35;0.57;1;0;0;0;0;0;0;1
4005;0;0;1;33.22;6.36;1;0;0;0;0;0;0;1
4006;1;0;1;62.28;0.67;1;0;0;0;0;0;0;1
4007;3;0;1;20.4;1.54;1;0;0;0;0;0;0;1
4008;1;0;1;28.64;0.78;1;0;0;0;0;0;0;1
4009;0;1;1;45.62;6.37;1;0;0;0;0;1;0;1
4010;0;0;1;48.88;5.55;1;0;0;0;0;1;0;1
4011;0;0;1;6.21;2.48;1;0;0;0;0;1;0;1
4012;0;0;1;77.97;6.13;1;0;0;0;0;1;0;1
4013;1;0;0;77.5;0.93;1;0;0;0;0;1;0;0
4014;0;0;1;75.58;7.08;1;0;0;0;0;1;0;1
4015;1;0;0;71.22;0.96;1;0;0;0;0;1;1;0
4016;0;0;1;46.99;7.4;1;0;0;0;0;1;0;1
4017;0;0;1;86.28;4.78;1;0;0;0;0;1;0;1
4018;1;1;0;8.23;0.75;1;0;0;0;1;0;1;0
4019;0;0;1;84.81;6.99;1;0;0;0;1;0;0;1
4020;0;0;1;0.42;7.36;1;0;0;0;1;0;0;1
4021;3;0;1;4.25;1.44;1;0;0;0;1;0;0;1
4022;0;1;1;31.84;6.7;1;0;0;0;1;0;0;1
4023;3;0;1;73.4;2.4;1;0;0;0;1;0;0;1
4024;1;1;1;71.17;0.79;1;0;0;0;1;0;0;1
4025;5;0;0;56.09;2.39;1;0;0;0;1;0;0;0
4026;1;0;0;35.54;0.65;1;0;0;0;1;0;0;0
4027;0;0;1;51.07;6.75;1;0;0;0;1;0;0;1
4028;0;0;1;16.58;2.06;1;0;0;0;1;0;0;1
4029;0;0;1;55.07;7.12;1;0;0;0;1;0;0;1
4030;0;0;1;27.15;6.34;1;0;0;0;1;0;0;1
4031;0;0;1;87.41;6.86;1;0;0;0;1;0;0;1
4032;0;0;1;21.5;7.16;1;0;0;0;0;1;0;1
4033;0;1;1;43.17;7.44;1;0;0;0;0;1;0;1
4034;0;0;1;21.08;5.06;1;0;0;0;0;1;0;1
4035;0;0;1;4.13;4.47;1;0;0;0;0;1;0;1
4036;2;0;1;85.69;0.54;1;0;0;0;1;0;0;1
4037;0;0;1;8.87;0.69;1;0;0;0;1;0;0;1
4038;0;0;1;58.67;6.08;1;0;0;0;1;0;0;1
4039;0;0;1;83.11;7.07;1;0;0;0;1;0;0;1
4040;0;0;1;87.01;6.97;1;0;0;0;0;1;0;1
4041;0;1;1;38.06;7.3;1;0;0;0;0;1;0;1
4042;0;0;1;69.83;0.74;1;0;0;0;1;0;0;1
4043;1;1;1;53.76;0.8;1;0;0;0;1;0;0;1
4044;0;0;1;67.28;0.52;1;0;0;0;1;0;0;1
4045;0;0;1;71.17;0.79;1;0;0;0;1;0;0;1
4046;3;0;0;9.13;1.35;1;0;0;0;1;0;0;1
4047;0;0;1;51.88;7.22;1;0;0;0;1;0;0;1
4048;0;0;1;65.42;2.3;1;0;0;0;1;0;0;1
4049;0;0;1;63.56;2.87;1;0;0;0;1;0;0;1
4050;1;0;0;4.14;0.74;1;0;0;0;1;0;0;0
4051;0;0;1;57.65;6.21;1;0;0;0;1;0;0;1
4052;0;0;1;46.35;7.63;1;0;0;0;1;0;0;1
4053;3;0;1;57.01;0.77;1;0;0;0;1;0;0;1
4054;0;0;1;35.36;7.31;1;0;0;0;0;1;0;1
4055;0;0;1;35.3;6.12;1;0;0;0;0;1;0;1
4056;0;0;1;30.61;7.68;1;0;0;0;0;1;0;1
4057;0;0;1;38.71;7.37;1;0;0;0;0;1;0;1
