;ShotType;Competition;PlayerType;Transition;TwoLegged;Movement;Angle;Distance
632;1;1;1;0;1;1;58.33;0.69
633;1;1;1;1;0;2;16.75;1.67
634;0;1;1;0;1;1;67.48;7.13
635;0;1;1;1;1;1;50.16;1.74
636;0;1;1;0;1;1;43.12;3.45
637;0;1;1;0;1;1;21.9;7.18
638;0;1;1;0;1;1;83.27;4.48
639;0;1;1;0;1;1;66.29;7.2
640;0;1;1;0;1;1;12.42;3.74
641;0;1;1;0;1;1;43.83;3.71
642;0;1;1;0;1;1;71.36;2.15
643;0;1;1;0;1;1;2.16;7.1
644;1;1;1;0;0;3;43.36;1.09
645;0;1;1;1;0;1;49.85;0.98
646;2;1;1;0;1;1;30.54;5.8
647;1;1;2;0;0;2;69.35;0.57
648;0;1;2;0;1;1;89.89;7.07
649;1;1;2;1;0;2;60.52;0.74
650;1;1;2;0;1;1;17.02;0.55
651;1;1;2;1;1;1;70.78;4.54
652;1;1;2;0;0;3;64.77;0.47
653;1;1;2;1;0;2;80.02;0.54
654;0;1;2;0;1;1;60.04;1.05
655;2;1;2;0;0;2;12.33;1.25
656;0;1;2;0;1;1;64.28;0.71
657;0;1;2;0;0;2;51.36;0.75
658;0;1;2;0;0;2;45.33;1.13
659;1;1;2;0;0;3;81.66;0.65
660;1;1;2;1;1;1;50.46;0.49
661;1;1;2;0;0;2;64.77;0.47
662;0;1;2;0;1;1;81.32;7.05
663;0;1;2;0;1;1;2.52;3.65
664;0;1;2;1;0;2;64.28;0.71
665;2;1;2;0;1;1;86.86;7.14
666;1;1;2;0;1;1;36.39;0.45
667;1;1;2;0;0;2;37.08;1.33
668;1;1;2;1;0;2;65.27;0.35
669;1;1;2;1;0;2;0.0;0.69
670;0;1;2;0;1;1;84.11;3.02
671;1;1;2;1;1;1;12.25;0.76
672;3;1;3;0;1;1;52.99;0.87
673;0;1;3;0;1;1;57.29;0.57
674;1;1;3;0;1;1;61.7;0.43
675;0;1;3;0;0;1;45.23;1.43
676;0;1;3;0;1;1;16.25;4.98
677;1;1;3;0;0;3;48.67;0.71
678;0;1;1;0;0;1;23.62;1.34
679;0;1;1;0;0;2;61.43;2.56
680;1;1;1;1;1;1;72.34;0.84
681;1;1;1;0;0;2;60.52;0.74
682;1;1;1;1;0;2;57.01;0.77
683;0;1;1;0;1;1;28.56;5.38
684;1;1;1;1;0;2;59.97;0.62
685;2;1;1;0;1;1;57.64;7.42
686;2;1;1;0;1;1;68.75;7.24
687;1;1;1;0;1;1;16.54;0.94
688;2;1;1;0;1;1;42.59;7.44
689;0;1;1;0;0;1;13.18;0.71
690;2;1;1;0;1;1;55.17;7.05
691;2;1;1;0;0;2;67.57;0.81
692;0;1;1;1;0;1;45.76;0.6
693;2;1;1;0;1;1;47.34;5.46
694;2;1;1;0;1;1;58.27;7.24
695;1;1;1;1;0;2;52.99;0.6
696;0;1;2;1;1;1;47.57;3.41
697;0;1;2;0;1;1;78.89;3.0
698;2;1;1;0;1;1;75.35;5.48
699;1;1;1;0;1;1;45.58;0.75
700;2;1;1;0;1;1;66.32;5.73
701;2;1;3;0;0;2;73.88;1.12
702;1;1;3;0;0;2;45.66;0.67
703;0;1;3;0;0;2;74.55;0.56
704;0;1;3;0;1;1;7.33;5.04
705;1;1;3;0;0;2;42.29;0.64
706;0;1;3;0;1;1;34.81;7.13
707;1;1;3;0;0;2;4.46;0.69
708;0;1;3;0;1;1;64.14;0.83
709;1;1;3;0;0;2;55.84;0.65
710;0;1;3;0;1;1;86.76;5.47
711;1;1;3;1;0;2;45.58;0.75
712;1;1;3;0;1;1;68.3;0.69
713;1;1;3;0;0;2;62.05;0.55
714;0;1;3;1;0;1;59.97;0.62
715;2;1;3;0;0;2;58.36;2.64
716;0;1;3;0;1;1;11.83;1.31
717;1;1;3;0;0;2;68.3;0.69
718;1;1;3;0;0;3;57.29;0.57
719;1;1;3;0;0;2;52.99;0.6
720;1;1;3;0;0;2;64.48;0.59
721;0;1;3;0;1;1;62.05;2.73
722;1;1;3;1;0;2;57.29;0.57
723;1;1;3;0;0;2;54.7;0.72
724;1;1;3;0;0;2;58.33;0.69
725;0;1;3;0;1;1;12.25;0.76
726;0;1;3;0;1;1;3.98;4.63
727;1;1;3;0;1;1;54.7;0.72
728;0;1;3;0;1;1;53.07;7.24
729;0;1;3;0;1;1;75.76;5.42
730;0;1;3;0;0;2;60.04;1.05
731;0;1;3;0;1;1;70.08;2.96
732;1;1;3;0;1;1;66.03;0.76
733;3;1;3;0;1;1;18.71;0.67
734;1;1;3;0;1;1;27.18;0.47
735;1;1;3;0;1;1;59.17;0.5
736;0;1;3;0;1;1;12.25;0.76
737;1;1;3;0;1;1;59.17;0.5
738;0;2;2;0;1;1;28.7;6.25
739;0;2;2;0;1;1;30.82;7.32
740;1;2;2;0;1;1;41.49;0.49
741;0;2;2;0;1;1;59.0;7.19
742;0;2;2;0;1;1;26.49;7.45
743;1;2;2;0;0;2;69.35;0.57
744;3;2;2;0;1;1;2.3;1.33
745;0;2;2;0;1;1;1.59;3.86
746;0;2;2;0;1;1;45.53;7.28
747;1;2;2;0;1;1;3.61;0.85
748;1;2;2;0;0;2;59.62;0.93
749;1;2;2;1;0;2;55.92;0.84
750;0;2;2;0;0;2;24.05;1.58
751;0;2;2;0;1;1;26.31;7.37
752;0;2;2;0;1;1;49.97;7.35
753;1;2;2;1;0;2;3.61;0.85
754;1;2;2;1;0;2;53.76;0.8
755;1;2;2;0;0;2;50.76;0.83
756;4;2;2;1;1;1;55.7;0.45
757;0;2;2;0;1;1;4.1;1.5
758;2;2;2;0;0;2;45.12;2.04
759;0;2;2;0;1;1;57.05;7.6
760;0;2;2;0;0;2;4.6;1.34
761;3;2;2;0;1;1;16.34;1.33
762;0;2;2;0;1;1;34.0;0.96
763;0;2;1;0;0;2;27.59;1.5
764;2;2;1;1;1;1;80.02;0.54
765;0;2;1;1;0;1;68.3;0.69
766;2;2;1;0;1;1;57.29;0.57
767;0;2;1;0;1;1;70.35;1.08
768;2;2;1;1;0;3;40.99;1.55
769;1;2;1;0;1;1;29.62;0.98
770;1;2;1;0;0;2;68.45;0.4
771;1;2;1;0;1;1;67.57;0.81
772;3;2;1;0;1;1;27.95;2.06
773;1;2;1;0;0;2;45.58;0.75
774;1;2;1;0;1;1;66.54;0.64
775;1;2;1;0;1;1;49.85;0.98
776;1;2;1;0;0;3;71.09;0.62
777;0;2;1;0;1;1;66.48;2.4
778;0;2;1;0;1;1;48.23;7.25
779;0;2;1;0;1;1;86.35;6.98
780;0;2;1;0;1;1;38.39;7.68
781;2;2;1;0;0;2;0.0;1.6
782;1;2;1;0;1;1;69.35;0.57
783;0;2;1;0;0;1;61.07;1.53
784;2;2;1;0;0;3;20.99;1.2
785;1;2;1;0;0;2;64.04;0.95
786;1;2;1;1;0;2;42.78;0.79
787;2;2;1;0;0;3;0.0;1.12
788;0;2;1;0;1;1;69.03;6.88
789;0;2;1;0;1;1;67.08;7.15
790;0;2;1;0;1;1;84.89;7.1
791;0;2;1;0;1;1;64.56;7.24
792;0;2;1;0;1;1;85.14;6.83
793;1;2;1;1;0;2;58.33;0.69
794;1;2;1;0;1;1;55.92;0.84
795;0;2;1;0;1;1;76.24;6.51
796;0;2;1;0;0;2;64.14;0.83
797;3;2;1;0;1;1;20.99;1.2
798;1;2;1;0;0;3;19.09;0.33
799;3;2;1;0;1;1;3.21;0.96
800;1;2;1;0;1;1;22.95;0.69
801;0;2;1;0;1;1;7.49;4.93
802;0;2;1;0;1;1;83.42;4.58
803;1;2;1;0;1;1;68.3;0.69
804;0;2;1;0;1;1;3.86;7.16
805;3;2;1;0;1;1;36.64;1.8
806;1;2;3;0;1;1;27.95;1.14
807;1;2;3;1;1;1;45.51;0.83
808;0;2;3;0;1;1;82.13;6.98
809;3;2;3;0;0;1;30.71;1.05
810;1;2;3;0;1;1;10.86;1.14
811;0;2;3;0;1;1;72.34;0.84
812;1;2;3;1;0;2;48.67;0.71
813;1;2;1;1;0;2;33.16;1.08
814;1;2;3;1;1;1;45.46;0.9
815;0;2;2;0;1;1;81.52;3.2
816;1;2;1;0;0;2;77.6;0.44
817;2;2;2;0;0;2;79.52;2.89
818;1;2;1;1;1;1;63.02;2.34
819;0;2;1;0;1;1;52.37;2.98
820;1;2;2;0;0;3;66.03;0.76
821;0;2;2;0;0;2;57.01;0.77
822;1;2;2;0;1;1;60.52;0.74
823;0;2;2;0;0;2;60.06;1.48
824;0;2;2;0;1;1;40.75;7.3
825;1;2;2;0;1;1;58.14;1.2
826;2;2;2;0;1;1;84.93;7.15
827;2;2;2;0;1;1;65.12;7.26
828;0;2;2;0;1;1;25.43;2.37
829;1;2;2;0;0;2;58.33;0.69
830;0;2;2;0;1;1;48.55;7.22
831;0;2;2;0;1;1;40.21;7.39
832;0;2;2;0;1;1;4.51;4.09
833;1;2;2;1;1;1;67.57;0.81
834;0;2;2;0;1;1;52.3;7.11
835;0;2;2;0;1;1;57.19;1.47
836;2;2;2;0;0;2;31.55;2.76
837;0;2;2;0;1;1;6.54;7.52
838;0;2;2;0;1;1;42.03;7.52
839;1;2;2;0;1;1;61.77;1.34
840;1;2;3;0;1;1;52.99;0.6
841;2;2;3;0;0;1;62.28;0.67
842;1;2;3;0;1;1;66.54;0.64
843;1;2;3;0;0;3;62.56;0.91
844;0;2;3;0;1;1;65.48;5.42
845;1;2;3;1;0;2;69.83;0.74
846;0;2;3;0;0;1;50.76;0.83
847;0;2;3;0;1;1;52.34;0.95
848;0;2;3;0;1;1;0.59;5.21
849;0;2;3;1;0;1;60.52;0.74
850;1;2;3;0;1;1;48.67;0.71
851;1;2;3;0;0;2;62.44;0.79
852;1;2;3;1;1;1;72.56;0.67
853;0;2;3;0;1;1;84.44;5.97
854;0;2;2;0;1;1;34.9;4.12
855;0;2;1;1;0;1;40.97;0.98
856;0;2;2;0;1;1;0.67;4.56
857;1;2;3;0;0;2;35.43;2.49
858;0;2;3;0;1;1;29.69;5.62
859;1;2;2;1;0;2;58.33;0.69
860;1;2;2;1;0;2;62.28;0.67
861;0;2;3;0;1;1;57.86;0.89
862;0;2;3;0;1;1;21.34;7.21
863;0;2;1;0;1;1;80.75;6.95
864;0;2;1;0;1;1;32.56;7.27
865;0;2;1;0;1;1;15.72;7.31
866;2;2;1;1;1;1;67.88;7.11
867;0;2;1;1;0;2;48.67;0.71
868;2;2;1;0;0;2;72.62;3.2
869;1;2;1;0;0;2;52.08;0.68
870;0;2;1;0;1;1;80.89;7.05
871;1;2;1;1;0;2;62.28;0.67
872;0;2;2;0;0;2;57.86;0.89
873;0;2;2;0;1;1;45.79;7.55
874;0;2;2;0;1;1;63.79;7.28
875;1;2;2;0;0;3;42.56;0.71
876;2;2;2;0;0;2;80.02;0.54
877;0;2;2;1;1;1;42.97;0.86
878;0;2;2;0;1;1;30.31;7.22
879;2;2;2;0;1;1;79.67;7.13
880;0;2;2;0;1;1;70.76;7.15
881;0;2;2;0;1;1;87.25;7.03
882;0;2;2;0;1;1;39.89;7.35
883;0;2;2;0;1;1;21.34;2.36
884;1;2;2;0;0;2;69.83;0.74
885;0;2;2;0;1;1;89.44;6.86
886;1;2;2;1;0;2;57.01;0.77
887;0;2;2;0;1;1;28.44;7.09
888;0;2;2;0;1;1;36.96;7.4
889;0;2;2;0;0;2;64.84;1.36
890;0;2;1;0;1;1;62.37;2.18
891;1;2;1;1;0;2;74.55;0.56
892;1;2;1;1;0;2;66.54;0.64
893;1;2;1;0;1;1;77.03;0.66
894;1;2;1;1;0;2;52.99;0.6
895;0;2;1;0;1;1;76.96;2.8
896;2;2;1;0;0;3;58.4;1.82
897;0;2;1;0;1;1;61.59;3.59
898;1;2;1;0;0;3;75.89;0.61
899;1;2;1;0;0;3;78.94;0.49
900;0;2;1;0;1;1;23.0;5.48
901;0;2;1;0;1;1;86.1;6.93
902;1;2;1;1;1;1;64.28;0.71
903;0;2;1;0;1;1;71.35;1.98
904;0;2;1;0;1;1;46.11;5.65
905;0;2;1;0;1;1;63.2;5.94
906;2;2;1;0;0;2;43.46;1.17
907;0;2;1;0;1;1;87.48;6.43
908;0;2;1;0;1;1;29.29;3.5
909;1;2;1;1;1;1;64.28;0.71
910;1;2;1;1;1;1;74.55;0.56
911;0;2;1;0;1;1;75.58;7.08
912;1;2;1;0;1;1;22.03;0.86
913;2;2;1;0;1;1;78.14;7.01
914;0;2;2;0;0;2;66.65;2.28
915;0;2;2;0;1;1;9.91;8.4
916;3;2;2;0;0;1;38.8;1.71
917;0;2;2;1;1;1;71.17;7.13
918;0;2;2;0;1;1;55.48;7.67
919;0;2;2;0;1;1;31.66;5.61
920;0;2;2;0;0;2;74.45;1.56
921;0;2;2;0;1;1;36.29;7.33
922;1;2;2;0;0;2;59.97;0.62
923;0;2;2;0;1;1;20.59;7.46
924;0;2;2;0;1;1;24.98;7.23
925;2;2;2;0;0;2;38.8;1.71
926;0;2;2;0;1;1;53.42;7.21
927;2;2;2;0;0;2;43.26;3.75
928;0;2;2;0;1;1;73.95;4.63
929;0;2;2;0;0;2;72.2;1.01
930;0;2;2;0;1;1;68.28;7.09
931;0;2;2;0;1;1;75.68;3.43
932;0;2;2;0;0;2;30.31;7.22
933;1;2;2;0;0;2;58.51;1.01
934;0;2;2;0;1;1;85.09;4.25
935;1;2;2;1;0;2;39.23;0.68
936;0;2;2;0;1;1;44.65;7.93
937;0;2;2;0;1;1;31.75;7.33
938;0;2;2;0;1;1;56.02;7.11
939;0;2;2;0;0;2;11.98;1.03
940;0;2;2;0;1;1;29.82;5.82
941;0;2;2;0;0;2;1.92;1.6
942;0;2;2;0;1;1;28.65;5.14
943;2;2;3;0;0;2;32.28;1.0
944;0;2;3;0;1;1;29.07;4.85
945;1;2;3;0;1;1;64.48;0.59
946;1;2;3;0;0;3;75.89;0.61
947;1;2;3;0;0;2;80.02;0.54
948;1;2;3;1;1;1;13.18;0.71
949;3;2;3;0;0;1;4.6;1.34
950;1;2;3;0;1;1;3.86;0.8
951;1;2;3;0;1;1;68.3;0.69
952;1;2;3;0;1;1;45.9;0.52
953;1;2;3;0;0;2;68.3;0.69
954;0;2;3;0;1;1;8.52;3.25
955;3;2;3;0;0;1;19.42;1.13
956;1;2;3;0;1;1;14.25;0.65
957;0;2;1;0;1;1;71.03;7.08
958;2;2;1;0;1;1;42.78;0.79
959;1;2;1;0;1;1;43.54;1.24
960;1;2;1;0;1;1;21.48;1.32
961;0;2;1;1;1;1;35.16;7.16
962;1;2;1;0;0;3;55.35;1.3
963;2;2;1;0;1;1;40.86;0.41
964;2;2;1;0;0;1;71.09;0.62
965;1;2;1;1;0;2;64.48;0.59
966;5;2;1;0;1;1;50.76;0.83
967;1;2;1;0;1;1;18.83;0.5
968;1;2;1;0;1;1;9.55;0.97
969;1;2;1;0;1;1;64.48;0.59
970;1;2;1;0;1;1;69.83;0.74
971;0;2;1;0;1;1;88.33;6.91
972;0;2;1;0;1;1;75.42;3.16
973;1;2;1;0;1;1;34.0;0.96
974;0;2;1;0;0;1;60.7;1.84
975;0;2;1;0;1;1;29.67;7.36
976;3;2;1;0;1;1;57.29;0.57
977;0;2;1;0;1;1;29.91;1.29
978;0;2;1;0;0;1;65.66;0.88
979;1;2;1;0;1;1;41.94;0.56
980;1;2;1;0;1;1;38.52;0.6
981;2;2;1;0;0;2;35.28;2.23
982;1;2;1;0;1;1;70.94;0.45
983;1;2;1;0;1;1;62.28;0.67
984;0;2;1;0;0;1;49.23;3.11
985;0;2;1;0;1;1;18.79;7.15
986;0;2;3;0;1;1;82.49;4.43
987;3;2;3;1;0;1;8.9;1.73
988;0;2;3;0;1;1;3.8;7.27
989;0;2;3;0;1;1;88.47;3.54
990;2;2;2;0;0;2;14.86;1.04
991;0;2;2;0;1;1;46.66;7.51
992;2;2;2;0;1;1;59.26;1.87
993;1;2;2;1;0;2;67.71;1.1
994;1;2;2;0;0;2;64.14;0.83
995;0;2;2;0;0;2;54.7;0.72
996;0;2;2;0;0;2;57.56;1.08
997;0;2;2;0;1;1;3.83;7.22
998;3;2;2;0;1;1;60.04;1.05
999;0;2;2;0;1;1;13.02;4.52
1000;0;2;2;1;1;1;41.17;1.63
1001;0;2;2;1;1;1;51.21;7.29
1002;0;2;2;1;1;1;42.56;7.37
1003;1;2;2;0;0;2;62.44;0.79
1004;1;2;2;0;0;2;67.28;0.52
1005;1;2;2;0;0;2;64.28;0.71
1006;0;2;2;0;1;1;19.04;7.39
1007;0;2;2;0;1;1;88.8;7.07
1008;1;2;2;0;0;3;48.3;0.79
1009;1;2;2;0;0;2;50.76;0.83
1010;1;2;2;0;0;2;62.28;0.67
1011;1;2;2;1;0;2;40.97;0.98
1012;0;2;2;0;1;1;35.41;7.58
1013;5;2;2;1;1;1;45.9;0.52
1014;0;2;2;0;0;2;69.35;1.49
1015;1;2;2;1;0;2;52.99;0.6
1016;0;2;2;0;0;1;55.46;1.5
1017;2;2;2;0;1;1;66.91;7.1
1018;1;2;2;1;0;2;58.33;0.69
1019;2;2;2;0;0;2;57.29;0.57
1020;1;2;2;0;1;1;7.2;0.85
1021;0;2;2;0;1;1;45.53;7.28
1022;0;2;2;0;1;1;75.79;6.96
1023;0;2;2;0;0;2;24.83;0.64
1024;0;2;2;0;1;1;76.88;3.03
1025;0;2;2;0;1;1;6.84;7.2
1026;1;2;2;0;0;2;57.01;0.77
1027;2;2;2;0;1;1;89.22;6.91
1028;0;2;2;0;1;1;6.11;8.06
1029;0;2;2;0;1;1;87.45;6.97
1030;1;2;2;1;0;2;59.97;0.62
1031;0;2;2;0;1;1;64.37;7.19
1032;0;2;2;0;1;1;44.34;7.36
1033;0;2;2;1;0;2;47.75;0.94
1034;0;2;2;0;1;1;72.26;7.2
1035;1;2;3;1;1;1;23.85;0.4
1036;1;2;3;0;1;1;52.08;0.68
1037;1;2;3;0;1;1;78.94;0.49
1038;1;2;3;0;0;2;54.7;0.72
1039;3;2;3;0;1;1;66.6;1.05
1040;1;2;3;0;1;1;14.25;0.65
1041;1;2;3;1;1;1;55.84;0.65
1042;3;2;3;0;1;1;8.19;1.13
1043;1;2;3;1;0;2;57.29;0.57
1044;3;2;3;0;1;1;89.04;0.8
1045;1;2;1;1;0;2;54.7;0.72
1046;2;2;1;0;1;1;40.84;7.46
1047;2;2;1;0;1;1;84.18;5.98
1048;1;2;1;0;0;2;37.61;0.53
1049;1;2;1;0;1;1;28.13;1.02
1050;1;2;1;0;1;1;57.29;0.57
1051;0;2;1;0;1;1;28.0;7.3
1052;0;2;1;1;0;1;45.41;0.98
1053;1;2;1;0;0;2;77.6;0.44
1054;4;2;1;1;1;1;21.06;0.45
1055;0;2;1;0;1;1;0.86;7.15
1056;0;2;1;0;0;2;1.92;1.6
1057;1;2;1;0;0;2;24.58;1.29
1058;0;2;1;0;1;1;86.13;6.98
1059;1;2;1;0;0;2;43.93;1.78
1060;0;2;1;0;1;1;86.79;6.49
1061;1;2;1;0;0;2;67.57;0.81
1062;4;2;1;1;1;1;27.95;0.23
1063;1;2;1;0;1;1;62.65;1.03
1064;0;2;1;0;1;1;18.12;7.41
1065;0;2;1;0;1;1;9.01;7.18
1066;0;2;1;0;1;1;48.87;7.18
1067;1;2;1;0;1;1;59.17;2.5
1068;0;2;1;0;1;1;13.27;7.23
1069;1;2;1;0;1;1;52.99;0.6
1070;0;2;1;0;1;1;18.1;2.93
1071;0;2;1;1;1;1;64.9;4.79
1072;0;2;1;0;1;1;37.49;1.41
1073;2;2;1;0;0;2;56.0;1.23
1074;0;2;1;0;1;1;73.18;3.3
1075;0;2;1;0;1;1;61.9;7.29
1076;0;2;1;0;1;1;71.72;7.0
1077;2;2;1;1;0;2;9.82;0.31
1078;0;2;1;0;1;1;16.81;7.41
1079;0;2;1;1;1;1;11.03;7.28
1080;0;2;1;0;1;1;48.83;7.26
1081;0;2;1;0;1;1;6.27;7.35
1082;0;2;1;1;0;2;3.61;0.85
1083;0;2;1;0;1;1;5.06;7.28
1084;0;2;1;0;1;1;25.38;7.38
1085;0;2;1;0;1;1;84.41;7.05
1086;0;2;1;0;1;1;73.37;7.1
1087;0;2;1;0;1;1;59.02;5.62
1088;0;2;1;0;1;1;53.89;7.56
1089;2;2;1;0;1;1;51.67;7.44
1090;0;2;1;0;1;1;84.11;5.12
1091;2;2;1;0;1;1;25.38;7.38
1092;0;2;1;0;1;1;49.38;7.34
1093;1;2;1;0;1;1;20.76;0.91
1094;0;2;1;0;1;1;36.62;7.36
1095;1;2;1;0;1;1;13.36;0.93
1096;0;2;1;0;1;1;44.95;5.61
1097;1;2;1;0;1;1;64.48;0.59
1098;1;2;1;0;0;2;62.28;0.67
1099;0;2;1;0;1;1;6.27;7.35
1100;1;2;1;0;0;3;53.76;0.8
1101;0;2;1;0;1;1;40.95;7.11
1102;3;2;1;1;1;1;18.59;1.01
1103;1;2;1;1;0;2;52.99;0.6
1104;0;2;1;0;0;2;47.18;1.17
1105;1;2;1;0;0;2;42.78;0.79
1106;1;2;1;0;1;1;23.47;0.81
1107;1;2;1;0;0;3;78.94;0.49
1108;1;2;1;0;1;1;55.84;0.65
1109;0;2;1;0;1;1;59.52;7.09
1110;0;2;1;0;0;1;72.56;0.67
1111;2;2;1;0;0;2;66.63;1.46
1112;1;2;1;0;1;1;42.78;0.79
1113;1;2;1;0;0;2;59.97;0.62
1114;1;2;1;0;1;1;80.02;0.54
1115;3;2;1;0;1;1;0.0;1.22
1116;1;2;1;0;1;1;45.46;0.9
1117;3;2;1;0;1;1;38.52;0.6
1118;0;2;1;1;0;1;64.14;0.83
1119;0;2;2;0;0;2;55.92;0.84
1120;0;2;2;0;1;1;71.58;7.28
1121;0;2;2;0;1;1;28.17;7.38
1122;0;2;2;0;1;1;39.16;5.26
1123;0;2;2;0;1;1;60.33;7.15
1124;0;2;2;0;1;1;84.77;6.94
1125;1;2;2;0;0;2;68.3;0.69
1126;1;2;2;1;1;1;62.05;0.55
1127;2;2;2;0;0;2;31.64;2.45
1128;1;2;2;1;0;2;66.54;0.64
1129;1;2;2;0;0;2;56.73;1.15
1130;1;2;2;1;0;2;48.3;0.79
1131;0;2;2;0;0;2;28.35;0.9
1132;1;2;2;1;0;2;42.29;0.64
1133;0;2;2;0;1;1;57.39;7.57
1134;2;2;2;0;1;1;33.42;9.73
1135;0;2;2;0;0;2;54.49;1.65
1136;0;2;2;0;1;1;65.58;7.0
1137;0;2;2;0;1;1;67.96;7.28
1138;1;2;2;0;0;2;53.76;0.8
1139;0;2;2;0;1;1;34.27;7.8
1140;1;2;2;1;1;1;65.38;1.0
1141;0;2;2;1;1;1;43.74;7.36
1142;2;2;2;0;1;1;22.75;7.34
1143;0;2;2;0;0;1;58.4;1.82
1144;0;2;2;0;1;1;55.91;7.37
1145;1;2;2;0;0;2;80.91;0.6
1146;0;2;2;1;1;1;74.02;7.19
1147;0;2;2;0;0;1;72.84;2.69
1148;2;2;2;0;1;1;81.38;7.1
1149;2;2;2;0;1;1;43.73;5.35
1150;0;2;2;0;0;2;10.93;1.41
1151;0;2;2;0;0;2;25.42;1.0
1152;2;2;2;1;1;1;31.25;6.09
1153;0;2;2;0;1;1;64.86;4.02
1154;2;2;2;0;1;1;18.79;7.15
1155;0;2;2;0;1;1;24.8;7.28
1156;2;2;2;0;1;1;14.1;7.26
1157;1;2;2;0;0;2;78.0;0.71
1158;2;2;2;0;1;1;49.02;7.45
1159;1;2;2;1;0;2;40.26;0.83
1160;1;2;2;0;1;1;78.0;0.71
1161;0;2;2;0;1;1;69.55;7.2
1162;0;2;2;0;1;1;89.66;6.86
1163;2;2;2;0;1;1;44.93;7.28
1164;0;2;2;0;1;1;8.48;5.81
1165;0;2;2;0;1;1;86.82;7.03
1166;0;2;2;1;1;1;87.29;5.42
1167;0;2;2;0;0;1;4.42;1.39
1168;0;2;3;0;1;1;88.57;7.02
1169;1;2;3;0;1;1;43.12;0.94
1170;1;2;3;0;1;1;43.12;0.94
1171;1;2;3;0;1;1;30.74;1.36
1172;1;2;3;0;1;1;62.44;0.79
1173;3;2;3;0;0;1;7.62;1.62
1174;1;2;3;0;1;1;52.34;0.95
1175;1;2;3;0;1;1;23.03;1.51
1176;0;2;3;0;1;1;28.17;7.38
1177;0;2;3;0;1;1;87.04;5.47
1178;1;2;3;0;1;1;57.29;0.57
1179;0;2;3;0;1;1;37.8;7.34
1180;1;2;3;0;1;1;72.93;0.5
1181;3;2;3;0;1;1;48.38;2.01
1182;0;2;3;0;1;1;11.03;7.28
1183;1;2;3;0;1;1;54.78;1.38
1184;0;2;3;0;1;1;44.27;6.52
1185;0;2;3;0;1;1;13.66;4.31
1186;2;2;3;0;0;2;57.1;3.45
1187;2;2;3;0;1;1;87.04;3.92
1188;0;2;3;0;1;1;4.64;7.28
1189;0;2;3;0;1;1;87.46;4.56
1190;0;2;3;0;1;1;85.15;4.3
1191;1;2;3;1;0;2;52.08;0.68
1192;0;2;3;0;1;1;53.4;7.47
1193;0;2;3;0;1;1;11.51;2.95
1194;3;2;3;0;1;1;14.11;1.32
1195;1;2;3;0;1;1;62.97;1.98
1196;1;2;3;0;1;1;72.56;0.67
1197;1;2;3;0;1;1;18.83;0.5
1198;2;2;3;0;1;1;59.02;1.12
1199;0;2;3;1;1;1;76.55;3.42
1200;1;2;3;0;1;1;73.83;0.73
1201;1;2;3;0;1;1;68.93;0.86
1202;1;2;3;0;1;1;52.99;0.6
1203;0;2;3;0;1;1;42.83;7.25
1204;0;2;3;0;1;1;79.71;2.94
1205;1;2;3;0;1;1;62.05;0.55
1206;1;2;3;0;1;1;37.67;1.14
1207;1;2;3;0;0;2;45.21;1.51
1208;0;2;3;0;1;1;81.93;3.35
1209;0;2;3;0;1;1;52.48;1.22
1210;3;2;3;0;1;1;66.54;0.64
1211;1;2;3;0;1;1;45.58;0.75
1212;1;2;3;0;1;1;52.99;0.6
1213;0;2;3;0;1;1;86.02;4.46
1214;0;2;1;0;0;2;6.06;1.02
1215;0;2;1;0;1;1;29.54;4.56
1216;0;2;1;0;1;1;69.45;7.32
1217;0;2;1;0;0;2;0.0;1.12
1218;0;2;1;0;1;1;72.14;6.98
1219;0;2;1;0;1;1;40.39;7.19
1220;0;2;1;0;0;2;38.12;1.21
1221;0;2;1;0;1;1;42.25;7.33
1222;0;2;1;0;1;1;6.79;7.25
1223;0;2;1;0;1;1;85.46;5.27
1224;0;2;1;0;1;1;1.26;7.31
1225;0;2;1;0;0;2;33.69;3.09
1226;0;2;1;0;1;1;65.66;4.41
1227;1;2;1;0;0;2;20.31;0.62
1228;0;2;1;0;1;1;52.1;7.6
1229;0;2;1;0;1;1;6.16;3.99
1230;0;2;1;0;1;1;58.57;7.41
1231;1;2;1;0;0;2;72.56;0.67
1232;0;2;1;0;1;1;23.68;7.34
1233;0;2;1;0;1;1;86.35;6.98
1234;0;2;1;0;1;1;40.92;7.61
1235;0;2;1;0;1;1;71.44;7.23
1236;2;2;1;0;0;2;55.03;2.42
1237;0;2;1;0;1;1;74.17;3.9
1238;0;2;1;0;1;1;26.31;7.37
1239;0;2;1;0;1;1;86.79;6.98
1240;0;2;1;0;1;1;19.05;7.22
1241;0;2;1;1;0;2;65.66;0.88
1242;2;2;1;0;0;2;5.75;1.07
1243;0;3;2;1;1;1;87.6;7.14
1244;0;3;2;0;1;1;26.06;2.6
1245;0;3;2;0;1;1;82.22;7.09
1246;0;3;2;0;1;1;31.73;7.35
1247;0;3;2;0;1;1;62.94;5.38
1248;0;3;2;0;1;1;58.72;7.26
1249;0;3;2;0;1;1;42.06;4.63
1250;0;3;2;0;1;1;60.12;7.34
1251;0;3;2;0;1;1;27.15;7.39
1252;0;3;2;0;1;1;31.87;7.42
1253;0;3;2;0;1;1;86.7;7.09
1254;1;3;2;0;1;1;46.83;0.6
